119 -> Node: < Primordial, Ljava/util/AbstractList$SimpleListIterator, <init>(Ljava/util/AbstractList;)V > Context: Everywhere
668 -> Node: < Primordial, Landroid/util/SparseArray, size()I > Context: Everywhere
440 -> Node: < Primordial, Landroid/os/Parcel, nativeCreate()I > Context: Everywhere
978 -> Node: < Primordial, Ljava/util/concurrent/locks/ReentrantReadWriteLock$Sync, exclusiveCount(I)I > Context: Everywhere
482 -> Node: < Primordial, Ljava/util/TimSort, mergeLo(IIII)V > Context: Everywhere
124 -> Node: < Primordial, Ljava/util/concurrent/locks/AbstractQueuedSynchronizer$Node, <init>(Ljava/lang/Thread;Ljava/util/concurrent/locks/AbstractQueuedSynchronizer$Node;)V > Context: Everywhere
336 -> Node: < Primordial, Ljava/lang/StringBuilder, append(Ljava/lang/String;)Ljava/lang/StringBuilder; > Context: Everywhere
632 -> Node: < Primordial, Ljava/lang/StringBuilder, delete(II)Ljava/lang/StringBuilder; > Context: Everywhere
569 -> Node: < Primordial, Ljava/io/PrintWriter, println(Ljava/lang/Object;)V > Context: Everywhere
596 -> Node: < Primordial, Ljava/util/Collections, emptyList()Ljava/util/List; > Context: Everywhere
780 -> Node: < Primordial, Ljava/lang/StringBuilder, append(J)Ljava/lang/StringBuilder; > Context: Everywhere
1084 -> Node: < Primordial, Landroid/view/Choreographer$CallbackQueue, <init>(Landroid/view/Choreographer;Landroid/view/Choreographer$1;)V > Context: Everywhere
409 -> Node: < Primordial, Ljava/lang/Enum, hashCode()I > Context: Everywhere
139 -> Node: < Primordial, Ljava/lang/reflect/Proxy$1, <init>()V > Context: Everywhere
564 -> Node: < Primordial, Ljava/io/PrintWriter, print(Z)V > Context: Everywhere
863 -> Node: < Primordial, Ljava/util/AbstractList, iterator()Ljava/util/Iterator; > Context: Everywhere
324 -> Node: < Primordial, Ljava/lang/reflect/Modifier, toString(I)Ljava/lang/String; > Context: Everywhere
629 -> Node: < Primordial, Ljava/nio/CharArrayBuffer, <init>([C)V > Context: Everywhere
1103 -> Node: < Primordial, Ljava/lang/IncompatibleClassChangeError, <init>(Ljava/lang/String;)V > Context: Everywhere
698 -> Node: < Primordial, Landroid/animation/AnimatorInflater, createAnimatorFromXml(Landroid/content/Context;Lorg/xmlpull/v1/XmlPullParser;)Landroid/animation/Animator; > Context: Everywhere
761 -> Node: < Primordial, Landroid/animation/ValueAnimator, setEvaluator(Landroid/animation/TypeEvaluator;)V > Context: Everywhere
442 -> Node: < Primordial, Ljava/lang/Long, <clinit>()V > Context: Everywhere
1285 -> Node: < Primordial, Landroid/os/Parcel, readException()V > Context: Everywhere
366 -> Node: < Primordial, Ljava/util/AbstractList$SimpleListIterator, hasNext()Z > Context: Everywhere
1114 -> Node: < Primordial, Llibcore/reflect/AnnotationFactory, <clinit>()V > Context: Everywhere
970 -> Node: < Primordial, Ljava/util/concurrent/locks/AbstractQueuedSynchronizer, acquire(I)V > Context: Everywhere
971 -> Node: < Primordial, Ljava/util/concurrent/locks/AbstractQueuedSynchronizer, release(I)Z > Context: Everywhere
395 -> Node: < Primordial, Ljava/util/Collections$SynchronizedMap, get(Ljava/lang/Object;)Ljava/lang/Object; > Context: Everywhere
274 -> Node: < Primordial, Ljava/util/HashMap, <init>(I)V > Context: Everywhere
183 -> Node: < Primordial, Landroid/animation/PropertyValuesHolder, setupSetterAndGetter(Ljava/lang/Object;)V > Context: Everywhere
636 -> Node: < Primordial, Lcom/android/internal/app/ActionBarImpl, getNavigationMode()I > Context: Everywhere
965 -> Node: < Primordial, Ljava/lang/Math, sin(D)D > Context: Everywhere
639 -> Node: < Primordial, Ljava/util/Collections$EmptySet, <init>(Ljava/util/Collections$1;)V > Context: Everywhere
701 -> Node: < Primordial, Ljava/lang/Character, valueOf(C)Ljava/lang/Character; > Context: Everywhere
1190 -> Node: < Primordial, Ljava/util/TimSort, gallopLeft(Ljava/lang/Object;[Ljava/lang/Object;IIILjava/util/Comparator;)I > Context: Everywhere
773 -> Node: < Primordial, Ljava/util/ArrayList$ArrayListIterator, <init>(Ljava/util/ArrayList;Ljava/util/ArrayList$1;)V > Context: Everywhere
1054 -> Node: < Primordial, Ljava/lang/RealToString, bigIntDigitGenerator(JIZI)V > Context: Everywhere
510 -> Node: < Primordial, Ljava/io/StringWriter, <init>()V > Context: Everywhere
265 -> Node: < Primordial, Landroid/os/StrictMode$7, <init>()V > Context: Everywhere
784 -> Node: < Primordial, Ljava/lang/Float, compare(FF)I > Context: Everywhere
297 -> Node: < Primordial, Landroid/view/animation/AnimationUtils, createInterpolatorFromXml(Landroid/content/Context;Lorg/xmlpull/v1/XmlPullParser;)Landroid/view/animation/Interpolator; > Context: Everywhere
460 -> Node: < Primordial, Ljava/lang/ref/WeakReference, <init>(Ljava/lang/Object;)V > Context: Everywhere
1058 -> Node: < Primordial, Ljava/lang/Class, isMemberClass()Z > Context: Everywhere
882 -> Node: < Primordial, Ljava/lang/ThreadLocal$Values, put(Ljava/lang/ThreadLocal;Ljava/lang/Object;)V > Context: Everywhere
820 -> Node: < Primordial, Landroid/animation/KeyframeSet, ofInt([I)Landroid/animation/KeyframeSet; > Context: Everywhere
1175 -> Node: < Primordial, Ljava/util/HashSet, size()I > Context: Everywhere
5 -> Node: < Application, Lcom/example/multiwebviewtest/MainActivity, <init>()V > Context: Everywhere
520 -> Node: < Primordial, Lcom/android/internal/util/FastPrintWriter, println()V > Context: Everywhere
1321 -> Node: < Primordial, Ljava/lang/reflect/Modifier, isPrivate(I)Z > Context: Everywhere
1077 -> Node: < Primordial, Ljava/lang/Character, isJavaIdentifierPart(I)Z > Context: Everywhere
138 -> Node: < Primordial, Ljava/nio/ByteOrder, <init>(Ljava/lang/String;Z)V > Context: Everywhere
132 -> Node: < Primordial, Ljava/nio/charset/CoderResult, <init>(II)V > Context: Everywhere
854 -> Node: < Primordial, Ljava/lang/ThreadLocal$Values, getAfterMiss(Ljava/lang/ThreadLocal;)Ljava/lang/Object; > Context: Everywhere
1254 -> Node: < Primordial, Ljava/nio/charset/MalformedInputException, <init>(I)V > Context: Everywhere
1349 -> Node: < Primordial, Landroid/os/Message, obtain(Landroid/os/Handler;ILjava/lang/Object;)Landroid/os/Message; > Context: Everywhere
204 -> Node: < Primordial, Ljava/lang/reflect/Proxy, getMethods([Ljava/lang/Class;)Ljava/util/List; > Context: Everywhere
205 -> Node: < Primordial, Landroid/os/StrictMode, trackActivity(Ljava/lang/Object;)Ljava/lang/Object; > Context: Everywhere
684 -> Node: < Primordial, Ljava/lang/ThreadLocal$Values, access$100(Ljava/lang/ThreadLocal$Values;)I > Context: Everywhere
452 -> Node: < Primordial, Ljava/io/FileInputStream, <init>(Ljava/io/FileDescriptor;)V > Context: Everywhere
591 -> Node: < Primordial, Landroid/os/SystemProperties, native_get(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String; > Context: Everywhere
963 -> Node: < Primordial, Ljava/lang/Math, cos(D)D > Context: Everywhere
340 -> Node: < Primordial, Ljava/util/AbstractCollection, toString()Ljava/lang/String; > Context: Everywhere
447 -> Node: < Primordial, Ljava/lang/Byte, <clinit>()V > Context: Everywhere
1335 -> Node: < Primordial, Landroid/os/Parcel, nativeWriteInt(II)V > Context: Everywhere
909 -> Node: < Primordial, Ljava/util/TimSort, sort([Ljava/lang/Object;IILjava/util/Comparator;)V > Context: Everywhere
959 -> Node: < Primordial, Landroid/animation/FloatEvaluator, evaluate(FLjava/lang/Number;Ljava/lang/Number;)Ljava/lang/Float; > Context: Everywhere
533 -> Node: < Primordial, Ljava/lang/String, length()I > Context: Everywhere
662 -> Node: < Primordial, Ljava/lang/AbstractStringBuilder, startEndAndLength(II)Ljava/lang/StringIndexOutOfBoundsException; > Context: Everywhere
990 -> Node: < Primordial, Ljava/util/concurrent/locks/AbstractQueuedSynchronizer, compareAndSetHead(Ljava/util/concurrent/locks/AbstractQueuedSynchronizer$Node;)Z > Context: Everywhere
105 -> Node: < Primordial, Landroid/animation/PropertyValuesHolder, <init>(Ljava/lang/String;)V > Context: Everywhere
1258 -> Node: < Primordial, Landroid/os/Parcel, recycle()V > Context: Everywhere
1085 -> Node: < Primordial, Landroid/os/Trace, nativeGetEnabledTags()J > Context: Everywhere
810 -> Node: < Primordial, Landroid/animation/PropertyValuesHolder, <init>(Ljava/lang/String;Landroid/animation/PropertyValuesHolder$1;)V > Context: Everywhere
1275 -> Node: < Primordial, Ljava/lang/reflect/Method, getExceptionTypesNative()[Ljava/lang/Class; > Context: Everywhere
56 -> Node: < Primordial, Ljava/lang/Throwable, <init>(Ljava/lang/String;)V > Context: Everywhere
227 -> Node: < Primordial, Landroid/util/Log, println_native(IILjava/lang/String;Ljava/lang/String;)I > Context: Everywhere
14 -> Node: < Primordial, Landroid/hardware/display/IDisplayManager$Stub$Proxy, getDisplayInfo(I)Landroid/view/DisplayInfo; > Context: Everywhere
137 -> Node: < Primordial, Llibcore/reflect/AnnotationFactory, <init>(Ljava/lang/Class;[Llibcore/reflect/AnnotationMember;)V > Context: Everywhere
1380 -> Node: < Primordial, Ljava/lang/Long, toString(J)Ljava/lang/String; > Context: Everywhere
435 -> Node: < Primordial, Ljava/lang/NegativeArraySizeException, <init>(Ljava/lang/String;)V > Context: Everywhere
29 -> Node: < Primordial, Landroid/app/FragmentManagerImpl$1, <init>(Landroid/app/FragmentManagerImpl;)V > Context: Everywhere
493 -> Node: < Primordial, Ljava/lang/String, getChars(II[CI)V > Context: Everywhere
96 -> Node: < Primordial, Landroid/view/animation/DecelerateInterpolator, <init>(Landroid/content/Context;Landroid/util/AttributeSet;)V > Context: Everywhere
4 -> Node: < Primordial, Landroid/app/Activity, <clinit>()V > Context: Everywhere
658 -> Node: < Primordial, Ljava/lang/System, getProperties()Ljava/util/Properties; > Context: Everywhere
372 -> Node: < Primordial, Ljava/util/AbstractList$FullListIterator, <init>(Ljava/util/AbstractList;I)V > Context: Everywhere
